,loading,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,product_code_A,product_code_B,product_code_C,product_code_D,product_code_E,attribute_0_material_5,attribute_0_material_7,attribute_1_material_5,attribute_1_material_6,attribute_1_material_8,attribute_2_5,attribute_2_6,attribute_2_8,attribute_2_9,attribute_3_5,attribute_3_6,attribute_3_8,attribute_3_9,"measurement_0_grouped_(-0.001, 3.0]","measurement_0_grouped_(3.0, 4.0]","measurement_0_grouped_(4.0, 5.0]","measurement_0_grouped_(5.0, 6.0]","measurement_0_grouped_(6.0, 7.0]","measurement_0_grouped_(7.0, 8.0]","measurement_0_grouped_(8.0, 9.0]","measurement_0_grouped_(9.0, 11.0]","measurement_0_grouped_(11.0, 13.0]","measurement_0_grouped_(13.0, 29.0]","measurement_1_grouped_(-0.001, 4.0]","measurement_1_grouped_(4.0, 6.0]","measurement_1_grouped_(6.0, 7.0]","measurement_1_grouped_(7.0, 9.0]","measurement_1_grouped_(9.0, 10.0]","measurement_1_grouped_(10.0, 13.0]","measurement_1_grouped_(13.0, 29.0]","measurement_2_grouped_(-0.001, 2.0]","measurement_2_grouped_(2.0, 3.0]","measurement_2_grouped_(3.0, 4.0]","measurement_2_grouped_(4.0, 5.0]","measurement_2_grouped_(5.0, 6.0]","measurement_2_grouped_(6.0, 7.0]","measurement_2_grouped_(7.0, 8.0]","measurement_2_grouped_(8.0, 9.0]","measurement_2_grouped_(9.0, 11.0]","measurement_2_grouped_(11.0, 24.0]"
1675,98.69,10,1,3,16.074,12.419,17.292,15.935,12.404,20.847,10.042,16.513,20.981,13.323,15.182,18.045,12.615,17.077,836.188,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22476,98.4,2,5,5,16.995,12.048,15.918,15.107,10.595,17.937,11.092,13.099,18.323,10.882,14.893,16.893,,,367.166,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17076,89.4,9,11,2,20.09,8.275,16.879,17.624,13.972,20.518,11.324,18.67,17.834,10.314,14.301,15.9,15.679,14.768,946.822,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
19829,165.77,14,10,6,16.97,11.58,17.665,16.997,12.179,18.624,11.689,15.833,20.3,11.773,14.955,13.339,16.256,17.013,666.716,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11440,115.1,9,18,6,17.071,10.035,17.254,16.314,11.353,20.238,11.176,17.291,17.975,11.173,16.17,16.175,16.032,18.684,785.414,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
24563,114.47,14,8,11,19.801,12.439,16.415,17.98,13.324,18.451,12.75,15.888,20.823,13.228,15.413,16.307,16.844,18.479,716.053,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6285,65.28,6,0,9,16.125,9.252,16.487,15.573,12.431,17.722,11.562,14.836,20.642,11.925,,16.61,16.688,17.182,604.077,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18433,82.3,10,6,4,17.368,12.953,17.229,18.614,11.16,18.34,11.388,19.655,19.108,16.361,13.77,18.7,11.437,17.844,734.603,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3815,126.53,8,7,7,17.836,11.728,17.71,17.511,11.847,18.941,11.53,16.023,17.743,,14.996,15.538,15.106,17.745,731.526,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6674,104.49,3,11,7,17.595,11.703,17.217,16.824,11.126,19.667,11.521,15.148,18.023,12.942,14.053,16.939,15.09,16.777,649.387,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22735,103.83,3,10,0,18.859,9.335,17.217,17.327,12.238,20.251,11.656,14.814,21.567,13.724,,16.022,16.016,18.127,646.96,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17139,102.94,10,10,17,19.382,11.157,,19.273,11.728,20.02,13.514,16.311,18.491,10.635,15.219,16.439,,17.431,964.335,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14323,88.32,10,6,3,17.971,10.376,19.344,18.184,11.788,18.504,9.849,14.6,17.226,8.396,16.333,15.43,16.726,11.572,720.229,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12128,,8,9,8,17.54,11.085,17.315,17.785,11.854,19.33,11.161,17.511,16.48,,15.82,11.164,12.463,,736.333,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2085,107.18,25,1,3,18.485,12.528,17.333,17.515,13.097,18.167,11.282,18.195,18.049,12.697,14.156,14.11,13.756,18.349,693.105,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24101,97.54,4,14,10,,12.033,16.879,18.759,11.92,17.93,,16.453,19.465,10.461,16.953,14.792,16.912,15.967,726.847,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3283,111.36,9,3,7,17.2,11.122,16.208,16.505,11.343,19.688,10.868,17.483,18.874,12.974,16.378,18.405,,17.423,651.272,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12461,184.61,1,15,3,18.353,12.911,18.091,18.691,13.029,20.671,11.278,16.14,17.331,12.394,18.517,14.614,12.326,16.079,959.285,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12126,181.52,8,8,6,17.203,12.272,16.612,17.447,12.45,20.51,10.432,16.68,16.285,11.861,14.491,16.93,13.925,13.909,801.844,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
19128,102.11,7,15,7,17.962,10.295,16.176,18.458,12.736,20.124,12.75,14.103,17.601,13.083,13.703,14.688,17.195,14.259,845.408,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
14596,101.09,11,14,7,19.653,11.501,17.052,17.475,13.055,18.743,12.371,16.628,21.4,11.653,15.832,14.12,14.591,17.372,761.106,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5338,138.54,14,2,14,18.93,11.052,17.24,18.018,12.421,17.75,9.943,16.443,18.821,11.501,13.996,16.085,15.536,16.814,718.234,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17485,119.28,15,9,3,17.735,12.651,19.589,17.481,11.377,19.619,11.885,16.646,19.708,10.185,15.308,15.168,15.401,14.627,871.032,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
13562,,10,6,4,18.604,10.392,18.093,18.264,10.994,19.245,10.979,15.287,18.003,10.952,15.917,18.32,,,730.582,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20042,128.76,7,8,4,17.616,12.197,15.873,20.242,11.375,19.065,13.189,15.327,18.222,10.287,15.693,15.455,13.934,15.847,859.804,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8640,101.66,4,12,8,,11.677,16.846,18.208,12.116,18.934,11.851,15.083,22.887,11.237,14.494,15.457,15.412,17.132,753.289,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2712,95.89,15,6,6,19.372,12.381,16.153,19.871,10.6,17.39,11.67,15.367,21.124,13.987,14.882,16.475,,17.574,561.627,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24516,73.59,7,10,5,18.019,11.98,17.98,15.655,11.539,19.103,10.564,13.64,19.536,13.56,15.342,18.755,14.801,,616.972,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4602,110.74,13,4,3,18.135,12.139,14.888,16.02,12.644,19.604,12.069,17.299,20.081,12.453,13.677,14.703,12.88,15.748,601.362,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6655,218.31,13,10,9,18.558,10.957,16.173,17.104,12.614,19.488,11.005,16.01,19.783,11.435,14.362,15.708,12.497,13.995,714.237,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12277,89.24,15,9,7,18.901,10.389,16.582,17.248,13.319,17.549,10.946,18.144,18.448,10.331,14.929,17.711,17.297,16.488,584.309,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
25579,104.96,9,10,3,18.569,12.622,19.075,,10.749,19.534,13.02,15.878,19.5,11.925,16.319,13.734,13.597,16.123,908.979,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
13882,125.8,4,5,3,17.89,11.468,18.056,16.958,12.07,19.76,11.143,17.233,18.814,10.177,14.645,18.191,15.092,15.265,816.673,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23412,107.06,5,13,4,19.325,11.723,,16.743,12.396,18.558,11.841,13.746,17.354,,13.665,,14.245,16.571,,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
9730,136.82,4,5,13,18.045,10.643,15.767,16.809,12.847,21.142,10.746,17.233,16.137,11.961,18.326,16.164,17.378,13.581,689.808,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1881,97.7,17,2,0,15.868,10.336,16.247,18.079,11.724,19.704,9.307,16.141,18.927,9.323,17.261,15.204,15.751,16.105,694.968,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14327,103.57,5,6,4,16.491,11.105,17.649,16.748,13.058,21.045,11.61,16.979,16.632,13.118,15.644,18.875,15.649,17.456,969.467,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16977,93.13,7,19,8,17.341,12.643,16.093,17.421,11.352,18.133,12.113,13.286,19.141,9.541,13.676,16.147,13.439,,,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15278,142.05,9,5,4,18.621,14.215,16.096,18.003,11.911,18.492,10.938,17.053,20.332,8.27,16.002,15.011,12.442,14.984,591.6,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11942,98.24,8,6,2,16.599,10.539,16.424,17.349,10.594,17.86,12.218,16.828,,13.815,16.002,13.667,15.792,16.972,,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9387,105.41,7,11,10,18.575,12.041,16.914,18.881,11.277,19.206,11.215,15.834,19.782,11.903,16.135,14.973,12.168,15.933,677.833,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23652,118.79,6,4,14,17.316,11.631,17.656,15.735,10.306,18.202,10.991,16.295,18.256,10.938,14.951,13.78,13.258,15.257,,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24128,68.7,11,9,5,17.342,11.357,15.796,17.632,11.837,19.12,,17.701,21.839,12.174,16.269,15.623,14.925,17.506,625.139,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5426,90.15,14,15,3,18.69,,16.476,17.344,12.051,20.317,13.959,17.322,17.59,11.775,17.665,16.239,15.343,15.03,793.343,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
12244,87.1,13,8,3,17.353,11.573,17.274,16.832,11.52,19.657,13.065,16.916,16.815,,14.645,17.421,15.472,14.001,813.053,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12503,78.15,9,10,5,17.908,11.158,18.256,16.733,13.46,17.313,11.355,17.076,20.265,8.301,14.115,14.354,16.283,17.184,668.869,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4386,133.12,14,1,4,18.38,10.027,17.26,17.406,12.724,17.458,13.23,15.747,19.929,11.026,15.737,13.526,14.501,15.143,583.517,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24169,108.39,6,7,8,18.661,11.829,16.13,16.261,10.899,17.071,10.897,15.694,18.117,9.176,16.48,,13.722,15.273,391.086,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23183,66.13,4,13,5,17.62,13.093,16.163,18.574,12.35,17.316,11.397,14.796,18.811,,15.571,15.634,,14.235,673.168,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
15970,93.38,8,8,5,17.719,11.027,17.558,17.885,11.328,17.231,12.264,17.511,20.108,13.353,13.642,15.581,15.697,,575.849,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1483,92.19,12,2,2,18.499,10.641,17.929,17.319,11.599,17.955,10.661,15.421,20.356,10.545,16.343,18.341,13.611,15.156,641.554,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19919,115.64,19,7,6,18.454,10.945,16.18,16.175,12.671,19.341,12.41,12.563,19.738,8.804,16.012,12.892,15.434,16.395,596.309,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5858,104.19,16,20,7,18.035,11.58,16.821,18.556,11.765,21.313,11.404,18.837,21.131,11.364,15.657,17.969,17.682,15.712,692.287,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
519,130.75,18,7,2,17.195,13.186,18.496,18.239,12.501,19.91,12.038,16.865,19.728,9.807,16.592,16.354,17.232,16.977,912.039,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19044,158.63,7,11,6,17.712,11.036,16.94,17.045,12.973,18.063,9.988,13.35,,7.906,14.692,17.875,11.34,14.744,648.351,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23684,166.75,11,13,4,18.535,11.541,15.65,16.68,10.35,19.392,11.299,18.546,,7.871,16.511,18.472,13.41,19.031,551.885,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
24894,133.35,12,10,1,17.729,13.406,18.151,18.84,13.406,18.255,10.172,14.732,17.97,9.818,13.909,16.429,14.961,,888.602,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20830,144.7,8,10,4,16.995,12.668,17.7,18.07,,18.487,11.767,15.306,17.73,11.323,15.159,17.396,14.918,16.929,758.723,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
15908,57.08,13,4,9,15.891,9.641,18.387,17.375,12.256,19.017,10.148,16.76,19.357,9.091,14.293,15.571,17.467,17.299,741.385,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15537,117.69,8,5,6,17.102,10.33,15.703,,13.404,19.183,10.602,16.076,18.456,11.36,16.147,16.785,16.522,18.672,685.575,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15238,140.85,8,6,14,17.339,10.259,17.335,18.36,13.436,18.618,11.186,16.515,16.51,7.076,16.802,13.253,18.348,14.858,744.035,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26403,156.75,4,11,5,18.941,11.726,18.395,16.533,10.774,20.555,11.993,15.563,17.758,11.122,15.232,16.314,15.2,13.983,832.823,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10085,121.85,3,6,3,17.871,13.948,16.846,17.881,12.665,18.24,11.291,16.326,16.482,13.459,14.346,15.0,16.84,17.675,871.279,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20906,82.04,16,10,4,17.288,9.605,16.279,17.685,12.236,18.814,10.762,15.583,17.398,9.804,14.562,16.526,16.319,15.222,663.625,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
735,107.63,13,2,1,17.358,12.642,17.657,16.534,11.321,19.678,10.907,17.099,21.285,12.06,17.145,17.362,15.897,15.876,760.19,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21652,93.55,5,8,15,16.658,11.758,16.387,17.933,12.513,20.19,11.252,16.661,20.106,11.13,15.145,13.842,15.896,16.434,767.898,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
