,failure
9034,1
11460,0
21499,1
13007,0
22436,0
14889,1
23755,0
1626,0
6208,1
5374,0
19274,1
17281,0
25372,0
12408,1
6846,1
11186,0
11871,0
19754,0
9581,0
15558,0
2868,1
23925,0
18524,0
21309,0
599,0
11572,0
14762,1
14908,0
4425,0
3838,0
15987,1
24866,0
9149,0
17049,0
23689,0
17351,0
6427,0
3517,0
17100,0
18518,1
23016,0
11026,0
2241,0
21681,1
4311,0
22180,1
7178,0
14364,1
137,0
3630,1
26429,0
3749,0
23958,0
17451,0
19981,0
19094,0
16491,0
1921,0
15081,0
16525,1
6045,0
19504,0
8245,1
1581,1
13375,0
4475,0
8261,0
15489,1
21100,0
26362,1
17604,0
11238,0
9631,0
22144,1
20680,0
8666,0
8683,0
13414,0
1329,1
16609,0
12286,0
8991,1
9866,0
26535,0
1854,0
24819,0
20903,0
229,1
12720,0
5961,1
14053,0
23192,0
9947,0
19665,1
11523,0
20924,0
7346,0
594,0
2488,0
6352,1
24229,0
14490,0
9484,0
7272,0
6258,1
25008,0
14758,0
5762,0
20573,0
714,0
9214,0
2494,0
14240,0
19899,0
25796,0
3874,0
23784,0
11539,0
2890,0
740,1
14839,0
18894,0
8523,0
5423,0
8750,0
13297,0
25299,0
10425,0
19106,0
11444,0
4244,1
23531,0
14089,0
6580,1
5440,0
13838,0
25733,0
2774,0
11637,0
25996,0
3122,0
5116,1
15885,1
7485,0
25718,0
10757,0
5777,0
7454,0
17313,1
24655,1
22474,0
17489,1
3699,1
14221,1
15530,0
4807,0
15285,1
4960,0
26068,0
11088,1
2715,0
13864,0
14840,0
9559,0
2666,0
22664,0
20954,1
448,0
13473,0
20096,0
22248,0
23392,1
22749,0
25237,0
16,0
12211,1
12328,0
13566,1
2206,0
12289,0
17376,1
26526,0
8493,1
119,0
12223,0
18447,0
9066,0
22281,0
5499,0
18444,0
9512,0
18067,0
2962,0
23118,0
10340,0
2971,0
7765,0
6381,0
8574,0
19224,0
1301,0
24440,0
12599,0
11069,0
24996,0
2468,0
22272,0
12974,0
10708,1
25931,0
4747,0
16884,0
15793,0
6626,0
5942,0
21534,0
22012,0
25029,0
11844,0
23962,0
6750,0
21045,0
23949,0
2222,0
5768,0
18001,0
10614,0
21036,0
25270,0
25906,0
8357,0
14449,0
24002,0
20495,0
15829,1
13478,0
61,0
142,0
25865,0
22380,0
19260,0
454,1
2572,1
4794,0
12159,1
8655,0
12885,0
2133,0
14480,0
25894,0
7167,0
12493,0
660,1
23613,0
21456,0
25354,1
9465,0
11658,0
989,0
16778,0
9478,0
1835,0
3928,0
25259,0
21528,0
22836,1
18337,0
1387,0
3768,0
22691,0
598,0
13779,1
7084,0
14655,0
6073,0
11386,1
14782,0
23627,0
6032,0
22231,0
3465,1
25868,0
5274,1
21306,0
17347,0
15466,0
18471,0
17319,0
14062,0
22859,0
16753,0
10440,0
1143,0
18620,0
11879,0
6331,0
23954,0
14629,0
9122,1
18687,0
13767,0
7431,0
16365,1
17189,0
8326,0
17862,0
21233,0
878,0
467,0
22337,0
5536,0
20756,0
5583,0
12131,0
13475,1
8465,0
22327,1
13314,0
5682,0
3479,0
26527,0
4041,1
4684,0
2786,0
22687,1
16039,1
16031,0
22741,1
18986,0
24753,0
21625,0
5048,0
2951,0
5500,0
22851,0
8239,0
25468,0
23788,0
583,0
18926,0
13672,0
25163,1
2709,0
20265,0
24728,0
24453,0
3241,1
21971,0
12210,1
1794,0
1023,0
9992,0
20057,0
6656,1
15841,0
10384,1
20272,1
13828,0
18174,0
14852,0
790,1
2976,0
20720,0
10626,0
17502,0
7343,0
5765,0
24828,0
16381,0
26130,1
3232,1
8129,0
2193,0
9445,0
2577,0
650,0
18134,0
13353,0
5449,1
15038,0
9397,0
6566,0
24671,0
203,0
13106,1
2904,0
6189,1
14342,1
26103,0
8383,0
12400,0
24485,0
19796,0
15664,0
5770,0
7860,0
3094,0
19753,1
13999,1
17947,1
11403,0
17666,1
8425,0
1645,0
22997,0
3452,0
4142,0
16965,1
18488,1
3880,0
822,0
7284,0
3444,1
13706,0
10428,0
4554,0
20676,0
5147,0
16431,0
8413,0
10642,0
25263,0
21852,0
21546,0
16355,0
25307,1
25060,0
26269,0
6008,0
19485,0
1456,0
7418,0
11454,1
9884,1
2670,0
162,0
26250,0
20494,0
16524,0
14326,0
18815,0
8072,0
25870,0
26259,0
25587,0
965,0
8422,0
20223,0
9332,0
18342,0
25638,0
5953,0
11200,0
5925,0
6415,0
26031,0
17566,1
13188,0
15898,0
12100,0
17220,0
5874,1
4910,0
214,0
572,0
1808,0
3431,0
15884,1
17095,0
17018,0
24458,0
18803,0
5357,0
6178,0
11284,0
17021,0
643,0
14765,0
23404,0
26008,0
11263,0
2396,1
18495,0
19737,0
9205,0
24681,0
5766,1
8865,0
7292,0
12640,0
3951,0
14024,0
4592,0
3870,0
21024,0
21317,1
9812,0
23053,1
16699,1
7036,0
86,0
16265,0
25337,0
17238,0
24541,0
4633,1
4139,0
2682,1
24939,0
11888,0
12622,0
15416,0
12967,0
23454,0
8744,0
16279,0
4018,0
8614,0
14868,0
22925,1
17893,1
9617,0
22109,0
18036,1
26486,0
22466,1
19346,0
13618,0
20291,0
5962,0
9888,0
22029,0
26219,0
22768,1
11121,0
12467,0
3488,0
18022,0
15973,0
17236,0
26308,0
19419,0
7405,0
15962,0
22154,0
6718,1
3578,0
16616,0
3724,0
21436,0
16626,0
879,0
2797,0
6929,0
14239,0
21117,0
6236,0
20765,0
11131,0
4808,0
26443,0
23600,1
22264,0
8709,0
15082,1
8743,0
14976,0
22408,0
13480,0
12105,1
18211,0
1251,0
10083,0
1872,0
10158,0
20842,0
23884,0
18371,0
4128,0
19439,0
20690,0
23806,0
14145,0
14497,0
15637,1
9383,0
25351,0
19241,0
58,0
6887,0
15951,0
4007,0
11319,0
7347,0
24341,0
9735,0
8870,0
6973,0
23639,1
4384,0
4141,0
7842,0
18457,1
14915,0
18538,0
20119,0
2764,0
24570,0
5909,0
3499,1
5982,0
17861,0
13328,0
4394,0
16356,0
11741,0
4388,0
10204,0
18285,0
12563,1
5476,0
12008,0
15364,0
13174,0
11236,0
5475,0
7938,1
13131,0
17803,0
2185,0
9706,0
4211,0
22469,0
26208,0
20287,0
26514,0
25057,0
24320,0
9131,0
3624,0
1076,0
14413,0
10087,0
18727,1
7898,0
9932,1
1965,0
23346,1
14569,0
5275,0
18874,0
9996,0
2728,0
20597,0
13525,0
8532,0
3941,0
7170,1
16920,0
21365,0
20360,1
10980,0
25835,0
5521,0
10615,0
26124,0
18466,1
4336,0
1316,0
3181,0
727,0
9520,0
9251,0
13045,1
11744,1
3807,0
13583,0
5324,1
495,0
12164,0
6283,0
14679,0
4102,0
25004,0
19499,0
280,1
2705,0
520,1
4991,1
25333,0
8960,0
15104,0
22433,1
11464,0
20012,0
23592,0
14646,0
17456,0
15954,0
11140,1
23721,0
7687,0
18075,1
5114,0
6601,0
22410,0
24098,0
15457,0
1946,1
10551,0
19581,1
15428,1
15511,0
18905,0
24748,0
44,0
7815,0
21455,0
18487,0
12075,0
3079,0
15224,0
7424,0
15982,0
17068,0
18984,0
21586,0
25403,0
6286,0
18135,0
16873,0
13707,1
1428,0
18897,0
4683,1
11849,0
17471,0
11841,0
9679,0
25154,0
2448,1
10283,0
2782,0
7342,1
7507,0
8987,0
26172,0
12816,0
17402,0
3073,0
24496,0
23497,0
4884,0
5943,0
7811,0
17394,1
18709,0
11384,1
2260,1
21116,0
19301,0
11136,1
25359,0
22895,0
19420,0
7403,1
11970,0
6643,1
21624,0
21075,0
7038,0
24720,0
22961,0
25429,0
15421,0
13861,1
6551,0
7750,0
24706,0
8730,1
24599,0
3225,1
22641,1
8316,0
24445,0
5065,1
25578,0
23058,0
25928,0
7148,0
11969,0
8451,0
15146,0
17306,0
17050,0
22880,0
20708,0
25933,0
6635,0
9940,1
20967,0
24629,1
1157,0
6017,0
10347,1
6212,0
11868,1
26541,0
629,0
22549,1
14509,0
1419,0
11204,0
1168,0
8003,0
2248,1
18388,1
16085,1
20001,1
19082,0
21679,0
17256,1
11183,0
14188,0
21861,0
5903,0
14749,0
20007,0
15412,1
18640,0
7451,1
19437,0
21555,0
6052,0
17435,0
24601,0
15770,0
3571,0
23683,0
8577,0
23195,0
26558,0
3590,0
5973,0
24336,0
10287,0
18123,0
871,0
2485,0
5168,0
2055,0
15706,0
14124,0
3014,1
14328,1
7349,1
26127,0
17396,1
4523,0
437,0
1657,0
18188,0
2359,0
4236,0
23963,0
14253,0
20438,1
22070,0
22375,1
7251,0
25215,0
15182,0
13655,0
13070,0
7002,0
10735,0
5557,0
17551,0
2111,1
4008,0
12018,0
11574,0
5295,1
10411,0
24363,1
19628,1
778,1
19027,0
3899,0
8020,1
748,0
17693,0
21974,0
12840,0
4355,0
13455,1
22681,1
12376,0
21105,1
5655,0
16485,0
65,0
17141,1
20357,0
26559,1
4172,0
8781,0
1273,1
11695,0
10468,0
14822,0
7986,1
3483,0
26193,1
9565,0
1780,1
4926,0
589,0
7838,0
8494,0
16991,1
8264,0
24180,1
20510,0
23550,0
15525,0
25707,0
20877,1
18200,0
2886,0
4617,0
16168,1
20219,1
9572,1
5741,0
23441,1
8747,1
7514,1
1805,0
2269,0
22944,1
23877,0
12633,0
16092,0
23988,0
17802,0
14101,0
18490,0
12141,0
5292,1
3501,0
11813,1
21549,0
9717,0
15738,0
3535,1
13789,1
10152,0
20514,0
5651,0
26265,0
4175,1
198,0
4758,0
4625,1
8942,0
6620,1
25452,1
3401,0
20812,0
23807,0
4527,0
6723,0
7729,0
20631,0
1437,0
10803,0
1977,0
6860,1
14298,0
19170,0
18436,1
16855,0
8241,0
16648,0
9806,0
24680,0
2077,0
6005,0
24884,0
20055,1
26247,0
7595,0
5070,0
26509,0
12522,0
24428,0
19395,0
15683,1
11290,0
12021,0
24705,0
8375,0
5880,1
16255,1
20722,0
14673,0
20205,0
20076,0
21484,0
9688,0
7552,0
7538,0
312,0
9125,0
9480,1
18885,0
1036,0
19352,0
2035,0
16164,0
17120,0
2065,0
13755,0
23803,0
22201,0
19588,0
24685,0
22554,0
11609,0
1817,0
5210,0
5125,1
8143,0
20698,0
5408,0
18202,0
12346,0
8581,0
25224,1
12814,0
5361,0
13500,0
12238,0
7194,0
1619,1
725,1
25639,0
7081,0
2414,0
10628,0
9355,0
10814,0
10595,0
1002,0
6793,1
4585,0
25627,0
17425,1
10234,1
10925,1
20108,0
1227,0
2272,0
20526,1
17336,0
4920,1
17294,0
2349,0
24804,1
14677,0
8052,0
15088,0
2183,0
21924,0
21493,0
13608,0
9153,0
8757,0
1978,1
10090,0
25108,0
2787,0
25081,0
6893,0
18818,0
18850,0
14021,0
15523,0
25235,0
930,0
1370,0
13716,0
21980,0
15756,0
1846,0
18275,0
24564,0
22222,1
4730,0
9929,1
20558,0
19427,0
11907,0
11419,0
15953,0
2959,0
5854,0
8787,0
8801,0
25074,1
15556,0
19677,0
9388,0
23424,0
13748,1
16638,0
5881,0
3125,0
11109,0
19343,0
15578,0
25115,0
2656,1
1084,1
6078,0
24491,1
4173,0
17901,0
19750,0
863,0
21139,0
17855,0
8046,0
7071,0
6314,1
4183,0
16744,0
10576,1
23508,0
7878,0
8217,0
3081,0
12077,1
11629,0
26016,0
17872,0
11962,1
17859,0
23313,0
23939,0
7913,1
2337,1
3736,1
2798,1
286,0
22696,0
8039,0
19947,0
26167,0
19561,0
2028,1
23977,0
1078,1
1314,0
196,0
5829,0
26318,1
21995,0
6721,0
7539,0
14669,0
5494,0
3923,0
8222,1
1127,0
10833,0
21033,0
20248,1
2739,1
13091,0
5466,0
20498,0
14421,0
11099,0
13212,0
9933,1
25349,0
19519,0
422,1
6937,0
16617,0
18955,0
22431,0
3165,0
23929,0
19115,1
12133,0
13439,1
12040,1
24898,0
12598,0
17556,0
4453,0
24044,1
13549,0
22348,0
2340,1
14261,0
1554,1
12861,0
21554,0
20859,0
14403,1
12779,0
329,1
7450,0
2517,0
22027,0
17837,0
18521,0
7685,0
19015,0
22656,0
9943,0
17363,0
16959,0
3828,1
496,0
6681,0
800,0
13574,1
22748,0
17116,1
13220,0
23839,1
12940,0
6848,1
15307,0
23685,0
6672,0
21977,0
23134,0
26552,0
13673,1
11449,0
779,0
2029,0
2453,0
11746,0
17327,0
12048,0
20434,0
5016,1
8595,0
13504,0
17907,1
6055,0
13517,0
11113,0
24568,1
476,0
26503,0
25022,1
25369,0
13005,0
17221,0
6685,0
17792,1
12253,0
18600,0
18957,0
22585,0
21892,0
6804,1
22116,0
10697,0
593,1
7199,1
6304,0
2476,0
19695,0
18579,0
7327,0
14568,1
9691,0
5062,1
25852,0
4390,0
4831,0
16155,0
10043,0
15769,0
9224,1
9656,1
6611,1
23008,0
18175,0
20538,1
11222,0
22089,1
13266,1
23448,0
14351,0
14086,0
3494,1
12748,0
3331,0
22373,0
22135,1
12039,0
16925,0
22832,0
12334,0
21638,0
26274,0
25636,0
1461,0
6805,1
282,0
14521,0
15615,0
3900,0
26436,0
21993,0
22635,0
8470,1
4577,0
14382,0
23729,1
20127,0
843,0
18040,0
22773,1
978,0
9141,0
24301,0
19275,0
9109,0
2032,0
6287,0
12924,0
16588,0
20793,0
24694,0
4408,0
15589,0
17687,0
3152,0
26447,0
18330,0
5280,0
16678,0
23488,0
18736,0
12235,1
19138,0
20556,1
25316,0
11478,0
19484,0
15925,1
16360,1
19455,0
12255,0
10742,0
1223,0
17664,0
7183,1
8946,1
2584,1
17257,0
23440,0
24144,0
6064,0
19992,0
2700,0
3957,1
26511,0
1001,0
11583,0
17052,0
9304,0
5584,0
9025,0
14772,0
19023,0
23542,0
19066,0
16897,0
19359,0
10020,1
17122,0
5991,0
25699,0
19550,0
25822,0
19248,1
26243,0
21927,0
24628,0
7647,0
9533,0
5206,0
20729,0
9193,0
13905,1
15576,1
20650,0
618,0
21186,0
25535,0
13792,1
12327,0
19569,0
25969,1
15765,1
1651,1
272,0
789,0
201,0
5227,0
15731,0
20753,0
18914,1
13904,0
4668,0
18947,0
4160,0
25808,0
23799,0
23010,1
26019,0
4974,1
24870,0
13963,0
10095,0
22239,0
8050,0
1427,1
10064,0
600,0
8119,0
14391,0
9493,0
13717,0
14663,0
6183,0
22618,0
10760,0
8884,0
7591,0
17497,0
26325,0
13969,0
3748,0
25658,0
8200,0
1207,0
1972,1
23054,0
22711,0
3420,0
22738,0
17931,0
212,0
26213,0
25685,0
920,0
2214,0
9825,1
23293,0
3105,0
26361,0
7621,1
1156,1
24064,0
466,0
27,0
1279,0
21836,0
8252,1
4411,1
13625,0
16482,1
6931,0
21646,0
9479,1
21933,1
13768,0
19638,0
25448,0
17738,1
13879,0
925,1
2223,1
12399,0
13978,0
1571,0
22332,0
18411,0
7151,0
15677,0
721,0
706,0
13023,1
19397,0
19914,1
12787,0
23227,0
19545,0
72,1
17096,0
3247,1
1521,0
22257,0
15730,1
3317,0
23615,0
12781,1
167,0
1820,0
22887,1
1670,0
21219,0
19986,0
16260,0
23479,0
23938,0
4110,0
11928,0
20021,0
26466,0
16731,0
11916,0
8859,0
9511,0
9073,0
21571,1
24370,0
11738,0
16962,0
9958,0
23348,0
21226,0
25285,1
7480,0
5033,1
26203,1
12311,0
6106,0
15342,0
7737,0
26131,0
21222,0
10363,0
15847,1
3940,0
908,0
346,0
8828,0
4508,1
8206,0
14802,0
605,0
22890,0
4368,0
16439,1
24760,0
13138,0
3381,0
694,1
13208,0
6152,1
11093,0
7129,0
6764,0
19376,0
20815,0
14890,0
11286,0
4134,0
5659,0
22158,0
3260,0
18332,1
11152,0
13603,1
4770,0
5010,0
3140,0
10883,1
9737,0
5891,0
12655,0
9840,0
11563,1
2796,0
7049,0
14977,1
9184,1
20015,0
14486,0
15226,0
4574,0
7085,0
8320,0
10282,0
17299,1
12835,0
17667,0
23985,0
13215,0
9439,0
11640,1
995,0
16544,1
35,0
17885,0
24234,0
22782,0
5502,0
14499,0
22355,0
25385,0
18809,1
12340,0
14524,0
25700,0
5897,1
9591,1
16476,0
11023,0
13594,0
479,0
1050,1
12973,0
23015,0
3253,0
26116,0
10639,0
47,0
16996,0
15313,0
14615,0
15492,0
3197,0
16660,0
10393,1
20663,0
15397,0
8415,0
20226,1
10646,0
4293,0
12916,0
12060,0
7027,0
26020,0
20396,0
6554,0
8937,0
16342,1
12687,0
127,0
6796,1
19215,0
17527,0
15517,0
8557,0
15191,0
8268,0
21992,0
14755,1
7868,0
23414,1
4749,1
10538,0
4217,0
7690,0
18386,0
13495,1
240,0
5662,0
24815,0
10819,1
18669,0
15000,0
2209,0
2147,1
10714,0
7580,0
20474,0
25929,0
25382,1
20449,0
9181,1
23828,0
5540,0
18604,1
4902,0
23035,0
12439,0
8705,0
3464,0
7754,0
6201,0
6680,1
10727,0
14953,0
25823,0
8839,0
8496,0
15332,0
19090,0
12442,0
1954,0
26081,0
2060,0
4708,0
23692,0
1997,0
5265,0
21737,0
6647,1
22382,0
15538,0
20419,0
10964,0
16437,0
8001,0
3583,1
23895,0
24105,0
8151,0
8850,0
24055,0
11625,0
489,1
4492,0
25770,0
2384,1
1274,1
11919,0
3640,0
6722,0
2738,0
23813,1
11220,0
20271,0
21230,1
16317,1
7681,0
2416,0
7575,0
7417,0
22426,0
22527,0
21738,0
23880,0
19937,0
4382,0
17152,0
7492,0
10663,0
16429,0
11743,0
5853,0
20107,0
22736,0
2711,1
5677,0
10015,0
3459,0
17984,0
14113,0
7825,0
18562,0
19375,0
2759,0
16024,1
24080,0
23865,0
16211,0
10524,0
15614,0
19904,0
17804,0
12245,1
8215,0
2839,0
16135,0
21192,0
2569,1
15280,0
14741,0
5750,0
7457,0
10699,1
13192,0
25771,0
15255,0
23401,0
14061,0
15438,0
578,0
14515,0
20266,0
10373,1
680,1
7985,0
8619,0
24058,0
11281,0
4188,0
19630,0
11551,0
13103,0
8367,0
19831,0
8867,0
24486,0
12073,0
20550,0
22831,0
2895,1
704,0
23487,0
10192,0
4323,0
7269,0
10965,0
3555,0
9580,0
10908,0
16578,0
17682,0
18253,0
415,0
21313,0
19772,0
11595,0
25345,0
6309,0
2174,0
1543,1
20386,0
18910,0
20905,0
5984,0
3605,0
20809,0
3811,0
17154,0
11343,0
21426,1
8888,0
17715,0
13831,0
3628,0
16640,0
14131,0
2619,0
3428,1
13360,1
22946,0
11646,1
16348,0
3277,0
4012,0
10416,0
17494,0
9652,0
19464,0
2997,0
18322,0
577,0
25511,1
4414,0
2347,0
5345,1
23188,0
20161,0
7823,1
20468,0
23362,0
17314,0
15356,0
3710,0
15896,0
4957,1
15499,0
19843,0
21415,0
20189,1
486,0
4165,0
339,0
26273,0
17480,1
17686,0
457,0
15445,1
1051,0
1145,0
25541,0
9389,0
4145,1
13114,0
18015,0
11759,0
4872,0
24347,0
5773,0
15201,0
3051,0
8233,0
18343,0
25045,0
17216,0
18397,0
10312,1
9,0
10271,0
1999,1
5023,0
3104,0
25055,0
6502,0
25505,0
17773,0
15098,0
14600,0
6686,0
16580,0
22878,1
23602,0
16619,0
10906,0
24401,0
24972,0
12947,1
23630,0
6377,1
4032,0
16905,0
7114,0
9712,1
10397,1
22095,0
9028,0
20112,0
20236,0
20013,0
3065,1
25166,0
16590,0
15590,0
8813,0
258,0
10756,0
15287,0
9268,0
11417,1
22284,0
8572,0
21962,0
21197,0
15755,0
17442,1
19321,0
22160,0
12360,0
24901,0
10098,0
3639,0
3338,0
24139,0
25238,0
9386,0
18439,0
7915,0
4477,0
708,0
19659,0
22928,1
12959,0
5279,1
5873,0
8592,0
14986,1
2846,0
9991,1
15952,0
17439,0
25957,0
14919,1
21810,0
7614,0
13294,1
11936,0
14903,0
16510,1
18554,0
10832,0
7474,0
3930,0
16794,0
21821,0
11098,0
1359,1
25499,0
26207,0
7483,0
7204,0
18088,0
18393,0
8453,0
2565,0
20440,0
4667,0
25069,0
7118,1
610,0
11461,1
24027,0
22792,1
23635,0
12068,0
22064,0
8740,0
22021,1
20268,1
8541,0
17776,0
8509,0
13721,0
15646,0
14076,0
4674,0
24583,0
9857,0
3921,0
6570,0
2087,0
24367,0
22184,1
16051,0
7050,1
26146,1
23936,0
22725,1
8299,0
15093,0
14999,0
20117,0
8296,0
12930,0
22446,0
9185,0
6687,0
17878,1
20174,1
2200,0
25497,1
11153,1
16338,0
15922,0
19979,0
19186,1
16568,0
25643,0
13343,0
3284,1
5223,0
5941,1
19675,0
11666,0
16761,0
4135,1
15184,0
1952,1
9715,0
3048,0
23457,0
2703,0
22452,0
3586,0
11828,1
1919,0
1243,0
8681,0
23589,1
19593,1
11249,0
4250,0
7165,1
12841,0
24066,0
17203,0
10998,1
6511,0
6190,1
4399,1
4396,0
15112,0
21601,0
13573,0
5452,0
9782,0
4790,0
18017,1
9475,0
14353,0
17875,0
1940,0
16006,0
290,0
6383,0
23812,0
6366,0
23309,0
3610,1
1757,0
530,0
24225,0
18437,1
8236,1
11745,0
20148,0
9563,0
11684,0
2031,1
13450,0
23586,0
19894,1
12209,0
18919,1
2966,0
8517,1
20297,0
24967,1
17144,0
7977,0
24279,0
5658,0
1105,1
19908,0
553,0
22839,0
24552,0
26200,1
5099,0
2244,0
25981,0
24131,0
20448,1
14584,0
2249,0
4439,0
954,0
22802,1
876,0
25357,0
1281,1
11061,0
7332,0
8578,0
14789,1
11470,0
657,0
2351,1
23791,0
10241,0
12862,0
23327,0
16871,0
1135,0
19354,0
8571,1
9328,0
24137,1
2176,0
14186,1
14276,0
4084,0
8162,0
3652,1
8351,0
24136,0
333,0
6608,0
15396,0
7378,1
23030,1
19327,0
8146,0
19927,0
4374,0
3824,0
24185,0
13268,1
3717,0
24032,0
19005,0
12477,0
1811,0
17099,0
2368,1
12124,0
6028,0
15326,0
4280,0
11898,0
14091,0
22333,0
10349,1
5501,0
17681,0
21390,0
13507,0
13914,0
5788,0
10941,0
11337,0
21667,0
11706,1
24254,0
19742,0
4476,0
12922,0
12465,0
17891,0
12471,0
12034,1
14455,1
3813,0
12324,0
12333,0
11462,0
26086,0
164,0
8402,1
18684,0
8570,0
9369,0
22072,0
7140,1
8598,0
26158,1
4480,1
10316,0
5548,0
10429,1
5934,0
15274,0
2918,0
7132,0
17605,0
2702,1
7397,1
23067,0
7150,0
24158,0
2601,0
13299,0
19383,0
7131,0
5067,0
18181,0
7375,0
8027,1
23141,0
12274,1
25220,0
20259,1
22182,0
18028,1
21898,0
13869,1
15668,0
3897,1
4070,1
17852,1
8285,0
14832,0
16471,1
25779,0
12462,0
18739,0
16293,1
17448,0
1336,0
7059,0
14733,1
26111,0
23082,0
15482,0
9135,1
21182,0
6024,0
1383,0
5756,0
15515,0
10824,0
14924,0
1644,0
15091,0
1917,0
4657,0
18472,0
25127,0
22538,0
7459,0
10750,0
9331,1
3671,1
1889,0
25279,0
12893,0
11732,0
20758,0
11427,0
10315,0
9286,0
6139,0
23066,1
2892,0
3650,1
7373,0
9095,0
4179,0
4464,0
7358,1
21750,0
751,1
16049,1
8307,0
974,0
18948,1
12706,0
4233,1
1791,0
26434,0
14262,0
21235,0
12385,0
24278,0
20411,1
21072,0
4942,0
22636,0
441,1
17048,0
11953,0
10788,0
7955,0
11512,0
19771,0
25726,0
4299,0
7572,0
6173,0
10901,0
4251,1
20982,0
18008,0
12605,0
14831,0
8949,0
2828,0
15432,1
22779,0
25421,0
9949,0
14357,0
24045,0
20828,0
19072,0
2322,0
22904,0
9869,0
1048,0
5242,0
5472,0
21713,0
8251,0
26141,0
17742,0
16231,0
19520,0
5431,0
2734,0
25752,0
8606,0
8026,1
14773,0
19502,0
21807,1
26140,0
1830,0
6842,1
5416,0
19411,1
7157,0
2990,0
2573,0
25899,0
7489,0
21378,1
3352,0
15630,0
14057,0
17930,0
25286,0
4771,0
13564,0
7419,0
5805,0
25434,0
2856,0
17879,0
18196,0
26051,0
12469,0
13906,0
7316,0
1303,0
13627,0
7436,0
23247,1
8023,1
25164,0
15130,0
10847,0
10637,0
24809,0
8941,1
13035,0
16689,0
5601,0
24664,0
4462,0
11884,1
15294,0
15025,0
2580,0
3657,1
3319,0
10342,0
14332,0
12501,0
8190,0
20683,0
705,0
3569,0
19586,0
2259,0
11615,1
4584,0
18934,0
1204,1
17696,1
8041,0
16579,0
23073,0
6667,0
24531,0
14380,0
14481,0
2525,0
20657,0
1818,0
10474,0
4255,0
20552,1
13934,0
12809,1
21377,0
22428,0
17626,0
21480,0
15717,0
1635,1
26075,1
2317,1
6869,0
16469,0
22393,0
14063,0
18277,1
23829,0
15361,0
13845,0
5911,0
2040,0
24543,0
14894,0
3213,0
15742,1
24464,0
19873,1
16831,1
6844,0
780,0
21048,0
10817,1
6786,0
4162,0
21804,0
10364,0
16669,1
5576,0
21535,0
11927,0
6711,1
12394,0
25180,0
3585,0
1819,0
14043,1
23046,0
6215,0
9610,0
7305,0
22233,0
15665,1
6905,0
23814,0
6624,1
10235,0
14547,0
7340,1
25713,0
18126,0
11906,0
15486,0
23536,0
14844,0
12181,0
2472,0
13678,0
22798,0
149,0
9111,0
22863,0
8588,0
24247,0
21387,1
15698,0
24925,1
15408,0
18710,1
11075,1
19154,0
13018,1
24147,0
1179,0
16313,0
9975,0
539,0
12632,1
6298,1
1167,0
15712,0
13870,0
6556,0
22086,0
3330,1
4847,1
12066,0
10805,0
10138,0
11964,0
188,0
3265,0
